CSR,FR,total_cost,hold_cost,short_cost,avg_cost_per_series_day,avg_inventory,total_orders,total_lost_units,n_cycles,n_stockout_cycles,arm,policy,alpha,lead_time,n_series,S_median
0.6814,0.7818,20.97,15.41,5.56,0.0147,19.7,141,1127.0,204,65,chronos2-zs,P1,0.9,7,17,44.0
0.8824,0.9263,42.49,40.61,1.88,0.0298,51.9,144,380.8,204,24,chronos2-zs,P2,0.9,7,17,81.0
0.8971,0.9319,43.87,42.13,1.74,0.0307,53.84,144,352.0,204,21,chronos2-zs,P3,0.9,7,17,83.0
0.7353,0.8188,27.58,17.84,9.74,0.0193,22.8,141,936.0,204,54,chronos2-zs,P1,0.95,7,17,49.0
0.8922,0.932,47.98,44.32,3.66,0.0336,56.65,144,351.2,204,22,chronos2-zs,P2,0.95,7,17,85.5
0.9118,0.9369,50.42,47.03,3.39,0.0353,60.1,144,326.0,204,18,chronos2-zs,P3,0.95,7,17,89.0
0.7745,0.8511,41.84,21.19,20.65,0.0293,27.09,143,769.0,204,46,chronos2-zs,P1,0.98,7,17,54.0
0.9069,0.9368,57.32,48.55,8.77,0.0401,62.04,144,326.7,204,19,chronos2-zs,P2,0.98,7,17,90.5
0.9216,0.9425,60.92,52.94,7.97,0.0427,67.66,145,297.0,204,16,chronos2-zs,P3,0.98,7,17,96.0
0.5343,0.5463,21.91,10.35,11.56,0.0153,13.23,130,2344.0,204,95,chronos2-zs,P1,0.9,14,17,44.0
0.8529,0.8827,52.06,49.07,2.99,0.0365,62.71,136,606.2,204,30,chronos2-zs,P2,0.9,14,17,117.1
0.8775,0.892,55.29,52.53,2.75,0.0387,67.14,138,558.0,204,25,chronos2-zs,P3,0.9,14,17,121.0
0.5637,0.5848,34.22,11.89,22.33,0.024,15.19,130,2145.0,204,89,chronos2-zs,P1,0.95,14,17,49.0
0.8627,0.8889,59.13,53.15,5.98,0.0414,67.93,136,574.1,204,28,chronos2-zs,P2,0.95,14,17,122.6
0.8775,0.8972,63.71,58.18,5.53,0.0446,74.36,140,531.0,204,25,chronos2-zs,P3,0.95,14,17,129.0
0.6078,0.6281,65.52,13.95,51.58,0.0459,17.82,132,1921.0,204,80,chronos2-zs,P1,0.98,14,17,54.0
0.8775,0.8951,72.35,57.79,14.55,0.0507,73.86,136,542.1,204,25,chronos2-zs,P2,0.98,14,17,128.8
0.8873,0.9022,78.29,64.73,13.56,0.0548,82.73,140,505.0,204,23,chronos2-zs,P3,0.98,14,17,137.0
0.4608,0.4187,22.45,7.64,14.81,0.0157,9.76,120,3003.0,204,110,chronos2-zs,P1,0.9,21,17,44.0
0.8137,0.8539,58.46,54.73,3.72,0.0409,69.95,129,755.0,204,38,chronos2-zs,P2,0.9,21,17,152.6
0.8333,0.8641,64.6,61.14,3.46,0.0452,78.13,133,702.0,204,34,chronos2-zs,P3,0.9,21,17,160.0
0.4853,0.4501,38.24,8.66,29.58,0.0268,11.07,120,2841.0,204,105,chronos2-zs,P1,0.95,21,17,49.0
0.8235,0.8596,66.56,59.0,7.55,0.0466,75.41,129,725.4,204,36,chronos2-zs,P2,0.95,21,17,159.0
0.8382,0.8676,74.43,67.31,7.12,0.0521,86.02,133,684.0,204,33,chronos2-zs,P3,0.95,21,17,168.0
0.5098,0.4872,81.18,10.06,71.12,0.0569,12.86,123,2649.0,204,100,chronos2-zs,P1,0.98,21,17,54.0
0.8333,0.864,82.74,63.88,18.86,0.0579,81.63,130,702.5,204,34,chronos2-zs,P2,0.98,21,17,166.2
0.8382,0.8705,92.54,74.58,17.96,0.0648,95.32,133,669.0,204,33,chronos2-zs,P3,0.98,21,17,179.0
0.7745,0.8434,30.62,26.63,3.99,0.0214,34.03,146,809.0,204,46,emp-daily,P1,0.9,7,17,50.0
0.9363,0.9528,60.34,59.14,1.2,0.0423,75.58,148,243.7,204,13,emp-daily,P2,0.9,7,17,87.1
0.9363,0.9532,61.05,59.86,1.19,0.0428,76.5,148,242.0,204,13,emp-daily,P3,0.9,7,17,88.0
0.8186,0.8717,38.63,31.73,6.9,0.0271,40.55,146,663.0,204,37,emp-daily,P1,0.95,7,17,56.0
0.9363,0.9561,68.34,65.97,2.36,0.0479,84.31,148,226.9,204,13,emp-daily,P2,0.95,7,17,94.2
0.9412,0.9566,71.61,69.27,2.33,0.0501,88.53,148,224.0,204,12,emp-daily,P3,0.95,7,17,97.0
0.848,0.8976,52.88,38.68,14.2,0.037,49.43,147,529.0,204,31,emp-daily,P1,0.98,7,17,64.0
0.951,0.9582,79.5,73.7,5.8,0.0557,94.19,148,215.9,204,10,emp-daily,P2,0.98,7,17,102.2
0.951,0.9586,84.64,78.89,5.75,0.0593,100.82,148,214.0,204,10,emp-daily,P3,0.98,7,17,107.0
0.6422,0.6642,25.9,17.35,8.56,0.0181,22.17,136,1735.0,204,73,emp-daily,P1,0.9,14,17,50.0
