variant,split,slice,n,npl,cov50_pos,cov85_pos,n_features
A_baseline,validation,overall,50196,0.25243532178409495,0.3448483833137879,0.7155972524711007,27
A_baseline,validation,cold_start,1167,0.32697192014954735,0.20232558139534884,0.627906976744186,27
A_baseline,test,overall,51556,0.29899026724311034,0.5672633577434228,0.8748304854895579,27
A_baseline,test,cold_start,1027,0.4061028659562031,0.32112068965517243,0.8448275862068966,27
B_no_brand,validation,overall,50196,0.2529460835370991,0.340660077064835,0.7271569777182108,26
B_no_brand,validation,cold_start,1167,0.3127206139360348,0.2069767441860465,0.6162790697674418,26
B_no_brand,test,overall,51556,0.30860320573974725,0.5490574993219419,0.8954095470572281,26
B_no_brand,test,cold_start,1027,0.448423701670804,0.3642241379310345,0.8836206896551724,26
C_eta_pooled,validation,overall,50196,0.2605962586368555,0.34789747026302564,0.7305411291673647,27
C_eta_pooled,validation,cold_start,1167,0.29789235986721646,0.19767441860465115,0.6790697674418604,27
C_eta_pooled,test,overall,51556,0.30039463296949304,0.5629576891781937,0.875,27
C_eta_pooled,test,cold_start,1027,0.4247824187285563,0.33189655172413796,0.8426724137931034,27
D_stop_censored,validation,overall,50196,0.25100899051805253,0.35017590886245603,0.7199865974200034,30
D_stop_censored,validation,cold_start,1167,0.30099335324724724,0.20465116279069767,0.6534883720930232,30
D_stop_censored,test,overall,51556,0.2955780715203972,0.5746202874966098,0.878559804719284,30
D_stop_censored,test,cold_start,1027,0.40078655800797264,0.3254310344827586,0.8771551724137931,30
E_no_stop_year,validation,overall,50196,0.2585526848354716,0.3448148768637963,0.7205227006198693,26
E_no_stop_year,validation,cold_start,1167,0.31847415672025803,0.18604651162790697,0.5720930232558139,26
E_no_stop_year,test,overall,51556,0.2985314483091275,0.5712639001898563,0.8772036886357473,26
E_no_stop_year,test,cold_start,1027,0.3738680500433161,0.3168103448275862,0.8491379310344828,26
F_eta_pooled+stop_censored,validation,overall,50196,0.25492922460170003,0.34504942201373767,0.7150276428212431,30
F_eta_pooled+stop_censored,validation,cold_start,1167,0.3100936916134475,0.19767441860465115,0.6488372093023256,30
F_eta_pooled+stop_censored,test,overall,51556,0.29600726113099857,0.569060211554109,0.8649986438839165,30
F_eta_pooled+stop_censored,test,cold_start,1027,0.4265299004298082,0.32112068965517243,0.8383620689655172,30
