R,alpha,month,origin_idx,R3_longrun,n_series,R3_switch
1,0.95,2019-06-01,3,-6.9814182479212175,265,
1,0.95,2019-07-01,4,-3.9515773254825572,265,
1,0.95,2019-08-01,5,-2.626606013099399,265,
1,0.95,2019-09-01,6,-16.55942898229341,265,
1,0.95,2019-10-01,7,-9.453955282476704,265,
1,0.98,2019-06-01,3,-13.022507807260867,265,
1,0.98,2019-07-01,4,3.830674787735643,265,
1,0.98,2019-08-01,5,-2.5324675051366796,265,
1,0.98,2019-09-01,6,-19.653142552310836,265,
1,0.98,2019-10-01,7,-8.94112256893823,265,
7,0.95,2019-06-01,3,-2.1924630770004656,265,
7,0.95,2019-07-01,4,-6.31871328408106,265,
7,0.95,2019-08-01,5,-3.493428614599324,265,
7,0.95,2019-09-01,6,-16.127726749506472,265,
7,0.95,2019-10-01,7,-7.882607463249156,265,
7,0.98,2019-06-01,3,-6.330250267933411,265,
7,0.98,2019-07-01,4,-5.9477181066321,265,
7,0.98,2019-08-01,5,-4.939700599389623,265,
7,0.98,2019-09-01,6,-21.942854882405083,265,
7,0.98,2019-10-01,7,-16.135311019476926,265,
30,0.95,2019-06-01,3,10.232902728038814,265,
30,0.95,2019-07-01,4,-3.0536593208512066,265,
30,0.95,2019-08-01,5,-2.606732911395188,265,-3.1431704876647917
30,0.95,2019-09-01,6,-26.0246540152847,265,-28.835527255891964
30,0.95,2019-10-01,7,-8.453971653170763,265,
30,0.98,2019-06-01,3,4.846834555526914,265,
30,0.98,2019-07-01,4,-4.42582874739605,265,
30,0.98,2019-08-01,5,-4.764218534565141,265,-3.3466970595366248
30,0.98,2019-09-01,6,-40.99350157516349,265,-41.98985057805746
30,0.98,2019-10-01,7,-18.305136893124512,265,
