arm,policy,alpha,costing,n,CSR_ub,FR_ub,cost,hold,short_c,S_med,n_orders,avg_inv,lost_lb
chronos2-ft-full,P1,0.85,derived,3363,0.8679750223015165,0.8424681675553748,18.3583873661083,7.301004804242244,11.057382561866058,15.0,1538,34.068248587570615,25315.0
chronos2-ft-full-short,P1,0.85,derived,3363,0.8581623550401427,0.8339241736408392,18.491691732249645,7.093055106551691,11.398636625697954,15.0,1491,33.57226286054118,26688.0
chronos2-ft-full-h32,P1,0.85,derived,3363,0.8593517692536425,0.8338121620673056,18.497117426900584,6.991306717216771,11.505810709683814,14.0,1471,33.45733571216176,26706.0
chronos2-zs,P1,0.85,derived,3363,0.8768956289027654,0.8457600632442236,18.880621300756598,7.985399962335216,10.895221338421381,18.0,1632,34.85013975617008,24786.0
emp-daily,P1,0.85,derived,3363,0.8415105560511448,0.7935377785167776,20.02287173852711,7.5516951600753295,12.471176578451779,16.0,1499,34.04817722271781,33178.0
gbdt-lean,P1,0.85,derived,3363,0.8513232233125186,0.7460545167795827,22.690635642779263,8.340516161165628,14.350119481613639,20.0,1782,34.42709782931906,40808.45
always-zero,P1,0.85,derived,3363,0.7133511745465358,0.5269349874870626,28.78949490236891,5.396222977500248,23.393271924868667,0.0,4,29.611416889681834,76020.45
chronos2-ft-full,P2,0.85,derived,3363,0.8703538507285162,0.8506890967196267,18.207661980587222,7.436628142666389,10.771033837920832,15.821054307539928,1598,34.45035170989666,23993.91575586038
chronos2-ft-full-short,P2,0.85,derived,3363,0.8620279512340172,0.8424072325368352,18.31711902644218,7.212949041569147,11.104169984873032,15.263494644387027,1559,33.91546780282611,25324.79211611005
chronos2-ft-full-h32,P2,0.85,derived,3363,0.8623253047873922,0.8422400437605633,18.317663280546093,7.109761618825105,11.207901661720987,14.697137252756034,1539,33.79624979668958,25351.658964579008
chronos2-zs,P2,0.85,derived,3363,0.8777876895628903,0.8536178387044815,18.770592332142865,8.147708981212606,10.622883350930259,18.113048666570393,1702,35.26114868965562,23523.273713575607
emp-daily,P2,0.85,derived,3363,0.8426999702646447,0.8020437710412712,19.83598633787618,7.666752868644781,12.169233469231397,16.32888502330344,1572,34.35205411875976,31811.10673521653
gbdt-lean,P2,0.85,derived,3363,0.8537020517395183,0.7534576316783436,22.62364782923464,8.544549736187468,14.079098093047168,20.780546975710912,1861,34.760903224783796,39618.78661099568
