kappa_h,arm,cost,CSR_ub
0.1,always-zero,41.50122155864476,0.745249851804205
0.1,chronos2-ft-full,20.305189922009802,0.9154009589634282
0.1,chronos2-zs,20.51615215265531,0.920527377333821
0.1,emp-daily,22.37533528109819,0.8924240417722955
0.1,gbdt-lean,26.40755539515561,0.893935691433232
0.15,always-zero,62.25183233796713,0.745249851804205
0.15,chronos2-ft-full,30.457784883014696,0.9154009589634282
0.15,chronos2-zs,30.774228228982956,0.920527377333821
0.15,emp-daily,33.56300292164728,0.8924240417722955
0.15,gbdt-lean,39.61133309273341,0.893935691433232
0.2,always-zero,83.00244311728952,0.745249851804205
0.2,chronos2-ft-full,40.610379844019604,0.9154009589634282
0.2,chronos2-zs,41.03230430531062,0.920527377333821
0.2,emp-daily,44.75067056219638,0.8924240417722955
0.2,gbdt-lean,52.81511079031122,0.893935691433232
0.25,always-zero,103.75305389661189,0.745249851804205
0.25,chronos2-ft-full,50.76297480502451,0.9154009589634282
0.25,chronos2-zs,51.290380381638265,0.920527377333821
0.25,emp-daily,55.93833820274547,0.8924240417722955
0.25,gbdt-lean,66.01888848788903,0.893935691433232
0.3,always-zero,124.50366467593426,0.745249851804205
0.3,chronos2-ft-full,60.91556976602939,0.9154009589634282
0.3,chronos2-zs,61.54845645796591,0.920527377333821
0.3,emp-daily,67.12600584329456,0.8924240417722955
0.3,gbdt-lean,79.22266618546682,0.893935691433232
