lead_time,arm,cost,CSR_ub,S_med
1,always-zero,83.00244311728952,0.745249851804205,0.0
1,chronos2-ft-full,40.610379844019604,0.9154009589634282,16.5
1,chronos2-zs,41.03230430531062,0.920527377333821,19.5
1,emp-daily,44.75067056219638,0.8924240417722955,16.0
1,gbdt-lean,52.81511079031122,0.893935691433232,27.5
3,always-zero,83.00244311728952,0.745249851804205,0.0
3,chronos2-ft-full,39.30864439308576,0.9256406577791231,17.5
3,chronos2-zs,39.89407983818596,0.9297286545503467,20.5
3,emp-daily,43.3451370492542,0.9008662096770803,17.0
3,gbdt-lean,51.76563716612705,0.9010995392266912,29.5
7,always-zero,83.00244311728952,0.745249851804205,0.0
7,chronos2-ft-full,37.417890495913184,0.9407340316403277,19.5
7,chronos2-zs,38.2362924631025,0.9482166054964875,22.5
7,emp-daily,41.01417125500487,0.919607197060468,19.0
7,gbdt-lean,49.97869633060133,0.9131301999907508,32.0
14,always-zero,83.00244311728952,0.745249851804205,0.0
14,chronos2-ft-full,36.173040845991004,0.9648544738313554,22.5
14,chronos2-zs,37.46904914392863,0.9653999604811213,26.0
14,emp-daily,38.65263665031772,0.9424164743274434,21.0
14,gbdt-lean,47.796729910026556,0.9308261968124241,36.0
