rho,mean_excess_per_scored_sku_month,excess_pct_logged_protection_demand,mean_excess_per_designated_inflated_day,static_effect_pct,static_ci_low,static_ci_high,closed_loop_effect_pct,closed_loop_ci_low,closed_loop_ci_high,attenuation_pp,attenuation_ci_low,attenuation_ci_high,absolute_static_difference,absolute_closed_loop_difference,n_series,n_draws,bootstrap_draws,bootstrap_type,did_vs_logged_pp
0.0,0.0,0.0,0.0,-12.212747291727805,-18.82601609279672,-5.5198067087308464,-3.462405008489892,-10.528946723592604,6.414858067887655,8.750342283237913,3.4162053764533615,19.58644871263295,-8.692836606461078,-2.293582907539502,1135,50,10000,two-way_series_and_latent_draw,0.0
0.1,2.6459321621145375,4.854559920737261,0.38439514540641945,-12.68848468802117,-19.113867031889036,-6.415794944579992,-5.034764276611222,-11.491291425397867,3.6141046493039135,7.653720411409948,2.753070987371378,17.196594305066732,-9.59126570190895,-3.5211476817977467,1135,50,10000,two-way_series_and_latent_draw,-1.0966218718279652
0.25,6.614830405286344,12.136399801843153,0.960987863516048,-12.75926670389769,-18.706257511613405,-6.98481525665233,-6.8556494395183565,-12.72095248479116,0.7612061816244777,5.903617264379334,1.6497876274445666,13.58832854838644,-10.661839605359754,-5.264709959796151,1135,50,10000,two-way_series_and_latent_draw,-2.846725018858579
0.3,7.937796486343612,14.563679762211784,1.153185436219258,-12.705842510427393,-18.474957990558547,-6.99472010042814,-7.431038707691229,-13.20336350596174,-0.0032570035296227797,5.274803802736164,1.2319060892202947,12.412763828444385,-11.000263214977961,-5.902076398900251,1135,50,10000,two-way_series_and_latent_draw,-3.475538480501749
0.35,9.260762567400882,16.990959722580413,1.3453830089224672,-12.639558228059379,-18.234602627638324,-6.989954347694818,-7.983630298866879,-13.628267967453908,-0.7388266056961521,4.6559279291925,0.8089019482303152,11.335102639944493,-11.343062194273115,-6.563404178521696,1135,50,10000,two-way_series_and_latent_draw,-4.094414354045413
0.5,13.229660810572687,24.272799603686305,1.921975727032096,-12.4079840999951,-17.606975765449704,-7.112962127210571,-9.294579587598484,-14.594650211041985,-2.6229617325197014,3.113404512396615,-0.17279643551017138,8.506307037990512,-12.418534985315699,-8.48698034613098,1135,50,10000,two-way_series_and_latent_draw,-5.636937770841298
0.75,19.84449121585903,36.409199405529456,2.8829635905481457,-11.98975758956797,-16.549721344619392,-7.1601827676434935,-10.466292451105096,-15.333404306246065,-4.612307597609187,1.5234651384628748,-1.1923698748877278,5.604516469802624,-14.382963998531556,-11.387245874865089,1135,50,10000,two-way_series_and_latent_draw,-7.226877144775038
1.0,26.459321621145374,48.54559920737261,3.843951454064192,-11.590592105983921,-15.672323104601562,-7.252407562581637,-11.119829802396627,-15.541582024432309,-5.965170674397835,0.47076230358729454,-1.8103596420919172,3.683382432372314,-16.51214192804697,-14.322494090883385,1135,50,10000,two-way_series_and_latent_draw,-8.279579979650618
1.25,33.07415202643172,60.68199900921576,4.804939317580241,-10.948786476683038,-14.58490895132549,-7.134013848841651,-11.430215667056073,-15.441342871638907,-6.88094606171727,-0.481429190373035,-2.482485049475007,2.1190962528193267,-18.243044638399393,-17.21648500595797,1135,50,10000,two-way_series_and_latent_draw,-9.231771473610948
1.5,39.68898243171806,72.81839881105891,5.765927181096291,-10.139457959969064,-13.372997429798286,-6.782215799819156,-11.363553946741648,-15.03533018505267,-7.342819273072339,-1.2240959867725838,-3.076601334166921,0.9478936164848979,-19.447476493392053,-19.734466988049057,1135,50,10000,two-way_series_and_latent_draw,-9.974438270010497
