kappa_h,arm,cost_margin,cost_declared,S_med_margin,S_med_declared,CSR_ub_margin
0.1,chronos2-ft-full,31.937378062438658,8.867705533348396,20.5,15.5,0.9143756752893497
0.1,chronos2-zs,31.9328868311847,9.156182226871525,23.0,18.0,0.9215657989329903
0.1,emp-daily,35.066292615806134,9.78118526631081,20.5,15.5,0.8904654398997733
0.1,emp-ewm,34.330065618216544,9.063552155354,18.5,15.0,0.8954998927945312
0.15,chronos2-ft-full,34.49661886980203,13.301558300022588,19.5,15.5,0.9069587910586435
0.15,chronos2-zs,34.60207415725241,13.734273340307286,22.0,18.0,0.9102876785181262
0.15,emp-daily,37.835298833242334,14.671777899466214,19.0,15.5,0.8840409945304191
0.15,emp-ewm,36.695183517639286,13.595328233031,17.5,15.0,0.8878431100516688
0.2,chronos2-ft-full,36.7930715612478,17.73541106669679,18.5,15.5,0.9008399338268989
0.2,chronos2-zs,37.065028224501745,18.31236445374305,21.0,18.0,0.9056804709473181
0.2,emp-daily,40.24142327973874,19.56237053262162,18.5,15.5,0.8784085032855323
0.2,emp-ewm,38.864341116161455,18.127104310708,17.0,15.0,0.8811721972076129
0.25,chronos2-ft-full,38.912219308666444,22.169263833370984,18.5,15.5,0.8972383030425333
0.25,chronos2-zs,39.32629040142001,22.89045556717881,20.5,18.0,0.9018586485384321
0.25,emp-daily,42.59424677537379,24.452963165777025,18.0,15.5,0.8699794733058384
0.25,emp-ewm,40.90654209637158,22.658880388385,16.5,15.0,0.8752603936752978
0.3,chronos2-ft-full,40.95481090944527,26.603116600045176,17.5,15.5,0.8923517831842966
0.3,chronos2-zs,41.58423908237496,27.468546680614573,20.0,18.0,0.8970049734929224
0.3,emp-daily,44.76863290438716,29.343555798932428,17.5,15.5,0.8666440168838103
0.3,emp-ewm,42.870845102874576,27.190656466062,16.0,15.0,0.8716981766662042
