split,arm,cost,CSR,FR,delta_cost,ci_lo,ci_hi,significant,n_series,B
validation,hybrid-tsfm-linear,0.4547,0.8997,0.9,-0.129019,-0.221218,-0.060454,True,1637,10000
validation,erm-linear-rich,0.4615,0.8997,0.9065,-0.122285,-0.245365,-0.040606,True,1637,10000
validation,hybrid-tsfm-gbdt,0.4954,0.8607,0.838,-0.088353,-0.153371,-0.036433,True,1637,10000
validation,erm-gbdt-rich,0.5086,0.873,0.8468,-0.075192,-0.119632,-0.035638,True,1637,10000
validation,chronos2-ft-full,0.549,0.8412,0.7789,-0.034753,-0.065982,-0.007646,True,1637,10000
validation,chronos2-zs,0.5516,0.8535,0.7852,-0.032146,-0.062496,-0.005103,True,1637,10000
validation,tft,0.5587,0.8598,0.8116,-0.025054,-0.072885,0.018642,False,1637,10000
validation,chronos2-ft-full-short,0.559,0.8341,0.7696,-0.02475,-0.054134,0.00114,False,1637,10000
validation,chronos2-ft-full-h32,0.561,0.8338,0.7707,-0.022784,-0.049825,0.001616,False,1637,10000
validation,erm-gbdt-lean,0.6049,0.8815,0.7882,0.021164,-0.021439,0.06218,False,1637,10000
validation,erm-linear-lean,0.6113,0.8756,0.7792,0.027512,-0.01599,0.070375,False,1637,10000
validation,gbdt-rich,0.6135,0.8582,0.7359,0.029738,-0.004713,0.071501,False,1637,10000
validation,gbdt-lean,0.6738,0.8848,0.719,0.090021,0.055763,0.127026,True,1637,10000
validation,deepar,0.9005,0.6842,0.5011,0.316782,0.225096,0.432656,True,1637,10000
validation,always-zero,1.1896,0.6446,0.2617,0.605853,0.470071,0.783788,True,1637,10000
validation,emp-daily,0.5838,0.8449,0.7598,0.0,0.0,0.0,False,1921,10000
test,hybrid-tsfm-gbdt,0.2855,0.9633,0.9496,-0.076582,-0.240236,0.012499,False,1764,10000
test,hybrid-tsfm-linear,0.2913,0.9614,0.9556,-0.070803,-0.238491,0.022923,False,1764,10000
test,erm-gbdt-rich,0.2984,0.9629,0.9542,-0.063677,-0.228872,0.028779,False,1764,10000
test,chronos2-ft-full-short,0.3101,0.9421,0.9145,-0.051958,-0.170268,0.013481,False,1764,10000
test,chronos2-ft-full,0.3102,0.9453,0.9172,-0.051888,-0.172639,0.014626,False,1764,10000
test,chronos2-ft-full-h32,0.3157,0.9416,0.9115,-0.046449,-0.158528,0.015678,False,1764,10000
test,chronos2-zs,0.3216,0.949,0.9213,-0.040513,-0.166448,0.033459,False,1764,10000
test,tft,0.3241,0.9574,0.9439,-0.037996,-0.20283,0.053231,False,1764,10000
test,erm-linear-rich,0.3292,0.9586,0.9562,-0.032888,-0.165731,0.048441,False,1764,10000
test,gbdt-rich,0.3432,0.9436,0.8894,-0.018932,-0.084817,0.021343,False,1764,10000
test,erm-gbdt-lean,0.3576,0.9567,0.9312,-0.004531,-0.145911,0.075442,False,1764,10000
test,gbdt-lean,0.3846,0.9323,0.8552,0.022473,-0.107068,0.096646,False,1764,10000
test,erm-linear-lean,0.4189,0.9532,0.9304,0.056777,0.021485,0.086001,True,1764,10000
test,deepar,0.5573,0.8199,0.6623,0.195188,0.127139,0.287137,True,1764,10000
test,always-zero,0.774,0.7413,0.3868,0.411852,0.322024,0.52938,True,1764,10000
test,emp-daily,0.3621,0.937,0.896,0.0,0.0,0.0,False,1979,10000
