arm,policy,alpha,costing,n_series,n_days,n_reviews,CSR,FR,avg_cost_per_series_day,avg_inventory,total_lost,S_median,n_violations
chronos2-zs,P1,0.85,derived,1921,63,3,0.8535,0.7852,0.551616,36.07,35155.0,15.0,0
chronos2-zs,P1,0.85,margin,1921,63,3,0.8535,0.7852,1.13169,36.07,35155.0,15.0,0
chronos2-zs,P2,0.85,derived,1921,63,3,0.8549,0.7947,0.543657,37.03,33599.1,15.3,0
chronos2-zs,P2,0.85,margin,1921,63,3,0.8549,0.7947,1.109391,37.03,33599.1,15.3,0
chronos2-zs,P3,0.85,derived,1921,63,3,0.8593,0.7952,0.54322,37.12,33516.0,15.0,0
chronos2-zs,P3,0.85,margin,1921,63,3,0.8593,0.7952,1.107163,37.12,33516.0,15.0,0
chronos2-zs,P1,0.9,derived,1921,63,3,0.8666,0.7982,0.763662,37.83,33031.0,16.0,0
chronos2-zs,P1,0.9,margin,1921,63,3,0.8666,0.7982,1.091697,37.83,33031.0,16.0,0
chronos2-zs,P2,0.9,derived,1921,63,3,0.8662,0.806,0.751744,38.63,31755.0,16.4,0
chronos2-zs,P2,0.9,margin,1921,63,3,0.8662,0.806,1.075178,38.63,31755.0,16.4,0
chronos2-zs,P3,0.9,derived,1921,63,3,0.8728,0.8078,0.748914,38.96,31461.0,17.0,0
chronos2-zs,P3,0.9,margin,1921,63,3,0.8728,0.8078,1.068196,38.96,31461.0,17.0,0
chronos2-zs,P1,0.95,derived,1921,63,3,0.8844,0.8165,1.354673,40.86,30038.0,19.0,0
chronos2-zs,P1,0.95,margin,1921,63,3,0.8844,0.8165,1.035056,40.86,30038.0,19.0,0
chronos2-zs,P2,0.95,derived,1921,63,3,0.8818,0.8214,1.341243,41.05,29239.9,18.3,0
chronos2-zs,P2,0.95,margin,1921,63,3,0.8818,0.8214,1.029371,41.05,29239.9,18.3,0
chronos2-zs,P3,0.95,derived,1921,63,3,0.8919,0.8255,1.324514,42.07,28556.0,19.0,0
chronos2-zs,P3,0.95,margin,1921,63,3,0.8919,0.8255,1.013761,42.07,28556.0,19.0,0
chronos2-zs,P1,0.98,derived,1921,63,3,0.9056,0.8345,3.021109,44.36,27093.0,21.0,0
chronos2-zs,P1,0.98,margin,1921,63,3,0.9056,0.8345,0.985597,44.36,27093.0,21.0,0
chronos2-zs,P2,0.98,derived,1921,63,3,0.8994,0.8367,3.014365,43.85,26721.1,20.1,0
chronos2-zs,P2,0.98,margin,1921,63,3,0.8994,0.8367,0.986258,43.85,26721.1,20.1,0
chronos2-zs,P3,0.98,derived,1921,63,3,0.9106,0.8428,2.944489,45.65,25731.0,22.0,0
chronos2-zs,P3,0.98,margin,1921,63,3,0.9106,0.8428,0.967713,45.65,25731.0,22.0,0
chronos2-ft-full,P1,0.85,derived,1921,63,3,0.8412,0.7789,0.549009,33.96,36186.0,13.0,0
chronos2-ft-full,P1,0.85,margin,1921,63,3,0.8412,0.7789,1.150041,33.96,36186.0,13.0,0
