month,arm,policy,alpha,costing,n_series,n_costed,CSR,FR,cost_layerc,hold_layerc,short_layerc,avg_inventory,total_lost,S_median,n_violations
2019-07-01,chronos2-zs,P1,0.85,derived,1926,1640,0.8723,0.8556,15.1313,10.606,4.5253,39.23,10881.0,15.0,0
2019-07-01,chronos2-zs,P1,0.85,margin,1926,1640,0.8723,0.8556,22.7539,10.606,12.148,39.23,10881.0,15.0,0
2019-07-01,chronos2-zs,P2,0.85,derived,1926,1640,0.8728,0.8642,15.0795,10.8035,4.276,40.18,10237.8,15.8,0
2019-07-01,chronos2-zs,P2,0.85,margin,1926,1640,0.8728,0.8642,22.3918,10.8035,11.5883,40.18,10237.8,15.8,0
2019-07-01,chronos2-zs,P3,0.85,derived,1926,1640,0.8785,0.8649,15.0762,10.8356,4.2405,40.28,10182.0,16.0,0
2019-07-01,chronos2-zs,P3,0.85,margin,1926,1640,0.8785,0.8649,22.3272,10.8356,11.4916,40.28,10182.0,16.0,0
2019-07-01,chronos2-zs,P1,0.9,derived,1926,1640,0.8847,0.8668,17.6109,11.0893,6.5216,40.97,10038.0,17.0,0
2019-07-01,chronos2-zs,P1,0.9,margin,1926,1640,0.8847,0.8668,22.2184,11.0893,11.1291,40.97,10038.0,17.0,0
2019-07-01,chronos2-zs,P2,0.9,derived,1926,1640,0.8853,0.8738,17.4402,11.2353,6.2049,41.74,9510.2,16.9,0
2019-07-01,chronos2-zs,P2,0.9,margin,1926,1640,0.8853,0.8738,21.9392,11.2353,10.7039,41.74,9510.2,16.9,0
2019-07-01,chronos2-zs,P3,0.9,derived,1926,1640,0.8904,0.8756,17.4238,11.3382,6.0857,42.07,9380.0,17.0,0
2019-07-01,chronos2-zs,P3,0.9,margin,1926,1640,0.8904,0.8756,21.8378,11.3382,10.4996,42.07,9380.0,17.0,0
2019-07-01,chronos2-zs,P1,0.95,derived,1926,1640,0.8977,0.8822,23.8231,11.9849,11.8382,43.94,8877.0,19.0,0
2019-07-01,chronos2-zs,P1,0.95,margin,1926,1640,0.8977,0.8822,21.6876,11.9849,9.7027,43.94,8877.0,19.0,0
2019-07-01,chronos2-zs,P2,0.95,derived,1926,1640,0.8977,0.8865,23.4152,11.8932,11.522,44.12,8555.8,18.8,0
2019-07-01,chronos2-zs,P2,0.95,margin,1926,1640,0.8977,0.8865,21.4203,11.8932,9.5271,44.12,8555.8,18.8,0
2019-07-01,chronos2-zs,P3,0.95,derived,1926,1640,0.9029,0.8901,23.2969,12.2389,11.058,45.12,8285.0,20.0,0
2019-07-01,chronos2-zs,P3,0.95,margin,1926,1640,0.9029,0.8901,21.3663,12.2389,9.1274,45.12,8285.0,20.0,0
2019-07-01,chronos2-zs,P1,0.98,derived,1926,1640,0.9154,0.8975,38.7863,12.963,25.8234,47.36,7728.0,22.0,0
2019-07-01,chronos2-zs,P1,0.98,margin,1926,1640,0.9154,0.8975,21.2585,12.963,8.2955,47.36,7728.0,22.0,0
2019-07-01,chronos2-zs,P2,0.98,derived,1926,1640,0.9102,0.8994,38.4846,12.6547,25.8299,46.87,7580.4,20.7,0
2019-07-01,chronos2-zs,P2,0.98,margin,1926,1640,0.9102,0.8994,21.0246,12.6547,8.3699,46.87,7580.4,20.7,0
2019-07-01,chronos2-zs,P3,0.98,derived,1926,1640,0.9195,0.9047,37.3205,13.2677,24.0528,48.67,7183.0,22.0,0
2019-07-01,chronos2-zs,P3,0.98,margin,1926,1640,0.9195,0.9047,21.069,13.2677,7.8013,48.67,7183.0,22.0,0
2019-07-01,chronos2-ft-full,P1,0.85,derived,1926,1640,0.8624,0.8505,14.6454,9.8872,4.7582,37.23,11270.0,13.0,0
2019-07-01,chronos2-ft-full,P1,0.85,margin,1926,1640,0.8624,0.8505,22.6928,9.8872,12.8056,37.23,11270.0,13.0,0
2019-07-01,chronos2-ft-full,P2,0.85,derived,1926,1640,0.8645,0.8593,14.5442,10.0537,4.4905,38.11,10604.8,13.4,0
2019-07-01,chronos2-ft-full,P2,0.85,margin,1926,1640,0.8645,0.8593,22.2677,10.0537,12.214,38.11,10604.8,13.4,0
2019-07-01,chronos2-ft-full,P3,0.85,derived,1926,1640,0.8744,0.86,14.5542,10.0811,4.4731,38.2,10553.0,13.0,0
2019-07-01,chronos2-ft-full,P3,0.85,margin,1926,1640,0.8744,0.86,22.2126,10.0811,12.1316,38.2,10553.0,13.0,0
2019-07-01,chronos2-ft-full,P1,0.9,derived,1926,1640,0.8785,0.8618,17.1308,10.2568,6.874,38.69,10417.0,14.0,0
2019-07-01,chronos2-ft-full,P1,0.9,margin,1926,1640,0.8785,0.8618,22.0039,10.2568,11.7471,38.69,10417.0,14.0,0
2019-07-01,chronos2-ft-full,P2,0.9,derived,1926,1640,0.8775,0.8688,16.9615,10.3948,6.5667,39.44,9893.0,14.6,0
2019-07-01,chronos2-ft-full,P2,0.9,margin,1926,1640,0.8775,0.8688,21.7117,10.3948,11.3169,39.44,9893.0,14.6,0
2019-07-01,chronos2-ft-full,P3,0.9,derived,1926,1640,0.8847,0.8706,16.9218,10.4653,6.4564,39.72,9754.0,15.0,0
2019-07-01,chronos2-ft-full,P3,0.9,margin,1926,1640,0.8847,0.8706,21.5895,10.4653,11.1242,39.72,9754.0,15.0,0
2019-07-01,chronos2-ft-full,P1,0.95,derived,1926,1640,0.8925,0.8767,23.5292,10.9571,12.5722,41.18,9293.0,16.0,0
2019-07-01,chronos2-ft-full,P1,0.95,margin,1926,1640,0.8925,0.8767,21.2465,10.9571,10.2894,41.18,9293.0,16.0,0
2019-07-01,chronos2-ft-full,P2,0.95,derived,1926,1640,0.891,0.8816,23.1292,10.9187,12.2105,41.47,8926.3,16.1,0
2019-07-01,chronos2-ft-full,P2,0.95,margin,1926,1640,0.891,0.8816,21.0009,10.9187,10.0822,41.47,8926.3,16.1,0
2019-07-01,chronos2-ft-full,P3,0.95,derived,1926,1640,0.8993,0.8851,22.9119,11.1858,11.7261,42.28,8659.0,17.0,0
2019-07-01,chronos2-ft-full,P3,0.95,margin,1926,1640,0.8993,0.8851,20.8746,11.1858,9.6888,42.28,8659.0,17.0,0
2019-07-01,chronos2-ft-full,P1,0.98,derived,1926,1640,0.9076,0.8924,39.2138,11.7107,27.5031,44.02,8107.0,19.0,0
2019-07-01,chronos2-ft-full,P1,0.98,margin,1926,1640,0.9076,0.8924,20.5225,11.7107,8.8118,44.02,8107.0,19.0,0
2019-07-01,chronos2-ft-full,P2,0.98,derived,1926,1640,0.9029,0.8947,38.8931,11.5351,27.358,43.84,7934.8,17.9,0
2019-07-01,chronos2-ft-full,P2,0.98,margin,1926,1640,0.9029,0.8947,20.3997,11.5351,8.8647,43.84,7934.8,17.9,0
2019-07-01,chronos2-ft-full,P3,0.98,derived,1926,1640,0.9107,0.9003,37.4463,11.9784,25.4679,45.24,7514.0,19.0,0
2019-07-01,chronos2-ft-full,P3,0.98,margin,1926,1640,0.9107,0.9003,20.2468,11.9784,8.2685,45.24,7514.0,19.0,0
2019-07-01,chronos2-ft-full-h32,P1,0.85,derived,1926,1640,0.8551,0.8442,14.6715,9.5728,5.0987,36.07,11743.0,13.0,0
2019-07-01,chronos2-ft-full-h32,P1,0.85,margin,1926,1640,0.8551,0.8442,23.4066,9.5728,13.8338,36.07,11743.0,13.0,0
2019-07-01,chronos2-ft-full-h32,P2,0.85,derived,1926,1640,0.8567,0.8534,14.5521,9.7236,4.8285,36.87,11047.9,13.0,0
