review_date,review_day,sku_specific_history_share,global_fallback_skus,median_sku_history_orders,raw_zero_share_in_sku_history,sampled_mean_days,sampled_p50_days,sampled_p90_days,sampled_max_days
2019-03-01,0,1.0,0,2.0,0.16086034534989396,1.7889867841409692,1.0,4.0,7
2019-03-31,30,1.0,0,2.0,0.15336266499057197,1.7827665198237885,1.0,4.0,7
2019-04-01,31,1.0,0,2.0,0.1529141424691874,1.7828898678414098,1.0,4.0,7
2019-05-01,61,1.0,0,3.0,0.1438860184750274,1.782308370044053,1.0,4.0,8
2019-05-31,91,1.0,0,4.0,0.1410158244002042,1.781057268722467,1.0,4.0,8
2019-06-01,92,1.0,0,4.0,0.1400151095441954,1.7802819383259911,1.0,4.0,8
2019-07-01,122,1.0,0,4.0,0.13934252386002122,1.777374449339207,1.0,4.0,8
2019-07-31,152,1.0,0,5.0,0.13592750533049042,1.7774801762114538,1.0,4.0,8
2019-08-01,153,1.0,0,5.0,0.13586572438162545,1.776669603524229,1.0,4.0,8
2019-08-31,183,1.0,0,6.0,0.13809880239520958,1.7741850220264317,1.0,4.0,8
2019-09-01,184,1.0,0,6.0,0.138016157989228,1.772863436123348,1.0,4.0,8
2019-10-01,214,1.0,0,7.0,0.1409450415737173,1.7706255506607929,1.0,4.0,8
2019-10-31,244,1.0,0,7.0,0.14088549618320612,1.7718766519823788,1.0,4.0,8
