specification,alpha,metric,point,ci_lo,ci_hi,p_two_sided
midpoint-21 (baseline),pooled,R_static,-0.12212775225102472,-0.18864760920425278,-0.05676848883123571,0.00039996000399960006
midpoint-21 (baseline),pooled,R_dynamic,-0.034624640375316575,-0.10733168753627967,0.06501393889024666,0.5685431456854314
midpoint-21 (baseline),pooled,attenuation,0.08750311187570814,0.03388563109972291,0.19579326585470105,0.00019998000199980003
midpoint-21 (baseline),0.95,R_static,-0.08348807812395914,-0.13275208630547614,-0.029564274485548818,0.0033996600339966003
midpoint-21 (baseline),0.95,R_dynamic,0.027123216537147946,-0.040105560923104876,0.1262214109393043,0.44495550444955506
midpoint-21 (baseline),0.95,attenuation,0.11061129466110708,0.05616814952406273,0.20752344177428303,0.00019998000199980003
midpoint-21 (baseline),0.98,R_static,-0.1391274173356104,-0.21720474734966222,-0.06356856635183829,0.00019998000199980003
midpoint-21 (baseline),0.98,R_dynamic,-0.06495082136912822,-0.14104761862398266,0.03340675677530381,0.23997600239976002
midpoint-21 (baseline),0.98,attenuation,0.07417659596648218,0.021621061410047358,0.18336759149093407,0.0027997200279972004
quantile-linear-21,pooled,R_static,-0.11056260490489644,-0.17645790502604353,-0.038818649373609286,0.001999800019998
quantile-linear-21,pooled,R_dynamic,-0.023097894628498462,-0.09956507262697839,0.085017743853075,0.7497250274972502
quantile-linear-21,pooled,attenuation,0.08746471027639799,0.03477877525623158,0.19737111565560936,0.00019998000199980003
quantile-linear-21,0.95,R_static,-0.07057941952737365,-0.11814967711325444,-0.012171691838894907,0.0207979202079792
quantile-linear-21,0.95,R_dynamic,0.04196689405045884,-0.027834521741896264,0.14792500102982642,0.26117388261173885
quantile-linear-21,0.95,attenuation,0.11254631357783249,0.060523953385516416,0.2061729137913408,0.00019998000199980003
quantile-linear-21,0.98,R_static,-0.12832641239677267,-0.20650844076582361,-0.04528044286957165,0.0017998200179982
quantile-linear-21,0.98,R_dynamic,-0.05536918536372127,-0.1351473701141062,0.05177661864649415,0.40175982401759824
quantile-linear-21,0.98,attenuation,0.07295722703305141,0.020909599172538797,0.1855424337338662,0.0021997800219978004
midpoint-12,pooled,R_static,-0.12195018605816789,-0.18862356918642695,-0.05715246603419198,0.00039996000399960006
midpoint-12,pooled,R_dynamic,-0.0335603672905334,-0.106432261837816,0.06644991595746659,0.5829417058294171
midpoint-12,pooled,attenuation,0.08838981876763449,0.0337928023877691,0.19788012293969262,0.00019998000199980003
midpoint-12,0.95,R_static,-0.08067074406178885,-0.12983272936153611,-0.026845038166837996,0.0045995400459954
midpoint-12,0.95,R_dynamic,0.030724177167287668,-0.03690571406531565,0.1314840091701629,0.394960503949605
midpoint-12,0.95,attenuation,0.11139492122907652,0.0559153018012946,0.21031086518547212,0.00019998000199980003
midpoint-12,0.98,R_static,-0.140062152525489,-0.21830888502750093,-0.06512073674024775,0.00019998000199980003
midpoint-12,0.98,R_dynamic,-0.06509367035687866,-0.14113171071230826,0.03343341988462162,0.23717628237176283
midpoint-12,0.98,attenuation,0.07496848216861035,0.02166757357291879,0.18563595570746805,0.0029997000299970002
"Gaussian-copula AR(1), rho=0.25",pooled,R_static,-0.11166950015014006,-0.17794154049875788,-0.03973377754554318,0.0023997600239976003
"Gaussian-copula AR(1), rho=0.25",pooled,R_dynamic,-0.016107137095797093,-0.09727831477068298,0.10198468297720345,0.8557144285571443
"Gaussian-copula AR(1), rho=0.25",pooled,attenuation,0.09556236305434296,0.03878533308022317,0.2137702552308626,0.00019998000199980003
"Gaussian-copula AR(1), rho=0.25",0.95,R_static,-0.07235532035416448,-0.12206481594770544,-0.013413163816874263,0.019998000199980003
"Gaussian-copula AR(1), rho=0.25",0.95,R_dynamic,0.04960509787761577,-0.024612723850464632,0.16299220264420838,0.20997900209979
"Gaussian-copula AR(1), rho=0.25",0.95,attenuation,0.12196041823178025,0.06425208529419874,0.2254137821286876,0.00019998000199980003
"Gaussian-copula AR(1), rho=0.25",0.98,R_static,-0.12933747878236057,-0.20675870995167456,-0.04584198928972892,0.0015998400159984002
"Gaussian-copula AR(1), rho=0.25",0.98,R_dynamic,-0.04888418244736753,-0.1338081351725363,0.06757031169473103,0.5189481051894811
"Gaussian-copula AR(1), rho=0.25",0.98,attenuation,0.08045329633499304,0.025171102248269257,0.20204673822832697,0.0013998600139986002
"Gaussian-copula AR(1), rho=0.50",pooled,R_static,-0.0954775296628112,-0.1639232620135093,-0.01728107319513549,0.014998500149985002
"Gaussian-copula AR(1), rho=0.50",pooled,R_dynamic,0.021509189100705293,-0.07412020969530653,0.17085124847192096,0.6351364863513649
"Gaussian-copula AR(1), rho=0.50",pooled,attenuation,0.11698671876351649,0.05298621652393213,0.2554831242863807,0.00019998000199980003
"Gaussian-copula AR(1), rho=0.50",0.95,R_static,-0.05398924572233087,-0.10642718593529338,0.01901751369117946,0.1311868813118688
"Gaussian-copula AR(1), rho=0.50",0.95,R_dynamic,0.087637252103413,-0.0006180996005530076,0.22663842647566587,0.05219478052194781
"Gaussian-copula AR(1), rho=0.50",0.95,attenuation,0.14162649782574388,0.07980277156817349,0.2520789679187051,0.00019998000199980003
"Gaussian-copula AR(1), rho=0.50",0.98,R_static,-0.11460004515637291,-0.1925396009525667,-0.027003525652106293,0.007599240075992401
"Gaussian-copula AR(1), rho=0.50",0.98,R_dynamic,-0.012398461863064342,-0.11116865027725677,0.13813087840304056,0.936906309369063
"Gaussian-copula AR(1), rho=0.50",0.98,attenuation,0.10220158329330857,0.0384487840478264,0.25075401403393893,0.00019998000199980003
