specification,alpha,metric,point,ci_lo,ci_hi,p_two_sided
empirical_conditional,pooled,R_D_static,-0.115906060623953,-0.15721981968913445,-0.07346409843922556,0.00019998000199980003
empirical_conditional,pooled,R_D_dynamic,-0.11119860161000662,-0.15647271056579418,-0.06153149542724736,0.00019998000199980003
empirical_conditional,pooled,A_D,0.004707459013946383,-0.018059536982000513,0.036496297298812715,0.7113288671132887
empirical_conditional,pooled,DiD,-0.08279565286176176,-0.17222046756535767,-0.042308800622402803,0.00019998000199980003
poisson,pooled,R_D_static,-0.13154135659002014,-0.19290422775402127,-0.07087027691080731,0.00019998000199980003
poisson,pooled,R_D_dynamic,-0.06940309892526406,-0.13170923827665637,0.01414483624381504,0.11818818118188182
poisson,pooled,A_D,0.062138257664756086,0.018973616591930195,0.14578183132689707,0.0011998800119988001
poisson,pooled,DiD,-0.025364854210952054,-0.0558628991800153,-0.011419710437761896,0.00019998000199980003
negative_binomial,pooled,R_D_static,-0.12510289837515245,-0.176626403097644,-0.07152271922104836,0.00019998000199980003
negative_binomial,pooled,R_D_dynamic,-0.09785984951545479,-0.15387410858522127,-0.0303153659541723,0.0031996800319968005
negative_binomial,pooled,A_D,0.027243048859697666,-0.0016801009587155999,0.07445031751000958,0.0673932606739326
negative_binomial,pooled,DiD,-0.06026006301601047,-0.13492767679041448,-0.02799964052089873,0.00019998000199980003
