alpha,origin_idx,retuned,oracle,fixed
0.8,0,emp-daily,emp-roll30,emp-roll30
0.8,1,emp-roll30,emp-roll30,emp-roll30
0.8,2,emp-roll30,emp-roll30,emp-roll30
0.8,3,emp-roll30,emp-ewm,emp-roll30
0.8,4,emp-roll30,emp-ewm,emp-roll30
0.8,5,emp-roll30,emp-ewm,emp-roll30
0.8,6,emp-roll30,emp-roll30,emp-roll30
0.8,7,emp-roll30,emp-ewm,emp-roll30
0.85,0,emp-daily,emp-ewm,emp-ewm
0.85,1,emp-ewm,emp-roll30,emp-ewm
0.85,2,emp-roll30,emp-roll30,emp-ewm
0.85,3,emp-roll30,emp-ewm,emp-ewm
0.85,4,emp-roll30,emp-ewm,emp-ewm
0.85,5,emp-ewm,emp-ewm,emp-ewm
0.85,6,emp-ewm,emp-roll30,emp-ewm
0.85,7,emp-ewm,emp-ewm,emp-ewm
0.9,0,emp-daily,emp-ewm,emp-ewm
0.9,1,emp-ewm,emp-roll30,emp-ewm
0.9,2,emp-ewm,emp-roll30,emp-ewm
0.9,3,emp-roll30,emp-ewm,emp-ewm
0.9,4,emp-ewm,emp-ewm,emp-ewm
0.9,5,emp-ewm,emp-ewm,emp-ewm
0.9,6,emp-ewm,emp-roll30,emp-ewm
0.9,7,emp-ewm,emp-ewm,emp-ewm
0.95,0,emp-daily,emp-ewm,emp-ewm
0.95,1,emp-ewm,emp-ewm,emp-ewm
0.95,2,emp-ewm,emp-ewm,emp-ewm
0.95,3,emp-ewm,emp-ewm,emp-ewm
0.95,4,emp-ewm,emp-ewm,emp-ewm
0.95,5,emp-ewm,emp-roll90,emp-ewm
0.95,6,emp-ewm,emp-roll30,emp-ewm
0.95,7,emp-ewm,emp-ewm,emp-ewm
0.98,0,emp-daily,emp-daily,emp-daily
0.98,1,emp-daily,emp-daily,emp-daily
0.98,2,emp-daily,emp-ewm,emp-daily
0.98,3,emp-ewm,emp-roll90,emp-daily
0.98,4,emp-roll90,emp-ewm,emp-daily
0.98,5,emp-roll90,emp-roll90,emp-daily
0.98,6,emp-roll90,emp-roll30,emp-daily
0.98,7,emp-ewm,emp-ewm,emp-daily
