month,scheme,median_hist_days,n_eff
2019-03-01,emp-daily,57,57.0
2019-03-01,emp-roll30,57,30.0
2019-03-01,emp-roll60,57,57.0
2019-03-01,emp-roll90,57,57.0
2019-03-01,emp-ewm,57,49.97927294869859
2019-04-01,emp-daily,87,87.0
2019-04-01,emp-roll30,87,30.0
2019-04-01,emp-roll60,87,60.0
2019-04-01,emp-roll90,87,87.0
2019-04-01,emp-ewm,87,66.11119266170199
2019-05-01,emp-daily,116,116.0
2019-05-01,emp-roll30,116,30.0
2019-05-01,emp-roll60,116,60.0
2019-05-01,emp-roll90,116,90.0
2019-05-01,emp-ewm,116,75.45854813095445
2019-06-01,emp-daily,147,147.0
2019-06-01,emp-roll30,147,30.0
2019-06-01,emp-roll60,147,60.0
2019-06-01,emp-roll90,147,90.0
2019-06-01,emp-ewm,147,80.9548070919096
2019-07-01,emp-daily,176,176.0
2019-07-01,emp-roll30,176,30.0
2019-07-01,emp-roll60,176,60.0
2019-07-01,emp-roll90,176,90.0
2019-07-01,emp-ewm,176,83.64844441613123
2019-08-01,emp-daily,206,206.0
2019-08-01,emp-roll30,206,30.0
2019-08-01,emp-roll60,206,60.0
2019-08-01,emp-roll90,206,90.0
2019-08-01,emp-ewm,206,85.09460674079511
2019-09-01,emp-daily,236,236.0
2019-09-01,emp-roll30,236,30.0
2019-09-01,emp-roll60,236,60.0
2019-09-01,emp-roll90,236,90.0
2019-09-01,emp-ewm,236,85.82694231707696
2019-10-01,emp-daily,265,265.0
2019-10-01,emp-roll30,265,30.0
2019-10-01,emp-roll60,265,60.0
2019-10-01,emp-roll90,265,90.0
2019-10-01,emp-ewm,265,86.18682669333481
